ref_num,authors,year,country,site_name,geo_area,N_pair,N_pair_state,latitude,longitude,elevation,elev_raster,avg_annual_precip,precip_raster,avg_annual_temp,temp_raster,climate,aridity_index_study,aridity_category,aridity_index,crop type_study,crop_type,multiple_crops,tillage_freq_study,tillage_freq,tillage_type,residue_removal,grazed,cover_crop,inorganic_N_applied,herbicide,OM_applied,inorganic_C_applied,years_since_irrig_t1,years_since_irrig_t2,study_duration,irrig_method,irrig_methodcat,irrig_water_type,irrig_water_pH,irrig_water_bicarbonate,irrig_water_Ca,irrig_water_OC,irrig_water_N,study_scale,soil_upper_limit,soil_lower_limit,soil_sample_thickness,depth_category,depth_cat_2,BD_t1,BD_t2,BD_t1_rf,BD_t2_rf,soil_texture_t1,per_sand_t1,per_clay_t1,soil_texture_t2,per_sand_t2,per_clay_t2,soil_pH_t1,soil_pH_t2,total_C_n_t1,total_C_n_t2,total_C_t1,total_C_t2,total_C_sd_t1,total_C_sd_t2,total_C_st_t1,total_C_st_t2,total_C_st_sd_t1,total_C_st_sd_t2,total_C_st_t1_calc,total_C_st_t2_calc,log_total_C_rr,organic_C_n_t1,organic_C_n_t2,organic_C_t1,organic_C_t2,log_organic_C_rr,per_OC_change,OC_change_rate,organic_C_sd_t1,organic_C_sd_t2,organic_C_t1_cov,organic_C_t2_cov,organic_C_t1_sd_calc,organic_C_t2_sd_calc,organic_C_st_t1,organic_C_st_t2,organic_C_st_sd_t1,organic_C_st_sd_t2,organic_C_st_t1_cov,organic_C_st_t2_cov,organic_C_st_t1_calc,organic_C_st_t2_calc,organic_C_st_sd_t1_calc,organic_C_st_sd_t2_calc,log_organic_C_st_rr,OC_st_change_rate,inorganic_C_n_t1,inorganic_C_n_t2,inorganic_C_t1,inorganic_C_t2,inorganic_C_sd_t1,inorganic_C_sd_t2,inorganic_C_sd_t1_cov,inorganic_C_sd_t2_cov,inorganic_C_sd_t1_calc,inorganic_C_sd_t2_calc,inorganic_C_st_t1,inorganic_C_st_t2,inorganic_C_st_sd_t1,inorganic_C_st_sd_t2,inorganic_C_st_t1_calc,inorganic_C_st_t2_calc,inorganic_C_st_t1_cov,inorganic_C_st_t2_cov,inorganic_C_st_t1_sd_cov,inorganic_C_st_t2_sd_cov,log_inorg_C_rr,total_N_n_t1,total_N_n_t2,total_N_t1,total_N_t2,total_N_sd_t1,total_N_sd_t2,total_N_t1_cov,total_N_t2_cov,total_N_t1_sd_calc,total_N_t2_sd_calc,total_N_st_t1,total_N_st_t2,total_N_st_sd_t1,total_N_st_sd_t2,total_N_st_t1_calc,total_N_st_t2_calc,log_total_N_rr,total_N_st_t1_cov,total_N_st_t2_cov,total_N_st_t1_sd_calc,total_N_st_t2_sd_calc
21a,Lenka et al.,2014,India,Pusa-N,Asia,yes,N-,23° 27' N,78° 48' E,,487,,1231,,25.6,semiarid,0.5888,Dry sub-humid,1.6994,cereals,cereals,yes,,,,yes,no,yes,no,,no,no,0,1,1,,,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,,,1.411052011,1.433455,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,2.5,2.8,0.049218023,12,0.3,1.7,0.5,0.68,0.178571429,0.352441204,0.379370629,,,,,,,5.291445041,6.020511,0.497632951,0.336170665,0.056059064,0.729065959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21a,Lenka et al.,2014,India,Pusa-N,Asia,yes,N-,23° 27' N,78° 48' E,,487,,1231,,25.6,semiarid,0.5888,Dry sub-humid,1.6994,cereals,cereals,yes,,,,yes,no,yes,no,,no,no,0,1,1,,,fresh,,,,,,Plot,30,60,30,40-50cm,30+cm,,,1.407647414,1.432133389,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,1.033333333,1.033333333,0,0,0,0.233333333,0.266666667,0.095238095,0.117647059,0.144334201,0.139423077,,,,,,,4.365966753,4.44223745,0.410596519,0.248043716,0.007521345,0.076270697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21b,Lenka et al.,2014,India,Pusa+N,Asia,yes,N+,23° 27' N,78° 48' E,,487,,1231,,25.6,semiarid,0.5888,Dry sub-humid,1.6994,cereals,cereals,yes,,,,yes,no,yes,yes,,no,no,0,1,1,,,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.406198276,1.4306215,CL,,,CL,,,7.56,7.56,,,,,,,,,,,,,,3,3,4.5,5.1,0.054357662,13.33333333,0.6,0.3,0.3,0.066666667,0.058823529,0.587814368,0.604014465,,,,,,,9.491838363,10.94425448,0.892658148,0.611100504,0.061835849,1.452416117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21b,Lenka et al.,2014,India,Pusa+N,Asia,yes,N+,23° 27' N,78° 48' E,,487,,1231,,25.6,semiarid,0.5888,Dry sub-humid,1.6994,cereals,cereals,yes,,,,yes,no,yes,yes,,no,no,0,1,1,,,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,,,1.418097701,1.441992167,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,3.3,3.3,0,0,0,0.2,0.2,0.060606061,0.060606061,0.459688716,0.444230769,,,,,,,7.01958362,7.137861227,0.660155417,0.398560779,0.007256748,0.118277607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21b,Lenka et al.,2014,India,Pusa+N,Asia,yes,N+,23° 27' N,78° 48' E,,487,,1231,,25.6,semiarid,0.5888,Dry sub-humid,1.6994,cereals,cereals,yes,,,,yes,no,yes,yes,,no,no,0,1,1,,,fresh,,,,,,Plot,30,60,30,40-50cm,30+cm,,,1.404962165,1.4322625,CL,,,CL,,,,,,,,,,,,,,,,,,3,3,1.3,1.4,0.032184683,7.692307692,0.1,0.22,0.166666667,0.173913043,0.086956522,0.182766365,0.190034965,,,,,,,5.477039109,6.016137616,0.51508711,0.335926466,0.04077192,0.539098507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Leavitt et al.,2001,USA,FACE,North America,no,,33° 03' N,112° 01' W,,360,,200,,21.6,semiarid,0.076,Arid,13.28,cereals,cereals,no,,,,no,no,no,yes,,no,no,0,2,2,subsurface drip,drippers,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,1.48,1.48,1.478791379,1.4771845,L,,,L,,,,,,,,,,,,,,,,,,4,4,5.8,5.8,0,0,0,0.7,0.5,0.120689655,0.086206897,0.807937743,0.780769231,,,,,,,12.865485,12.85150515,1.209932109,0.717596734,-0.000472168,-0.006989925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Leavitt et al.,2001,USA,FACE,North America,no,,33° 03' N,112° 01' W,,360,,200,,21.6,semiarid,0.076,Arid,13.28,cereals,cereals,no,,,,no,no,no,yes,,no,no,0,2,2,subsurface drip,drippers,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,1.48,1.48,1.484966092,1.484603333,L,,,L,,,,,,,,,,,,,,,,,,4,4,5.8,5.2,-0.04742465,-10.34482759,-0.3,0.4,0.7,0.068965517,0.134615385,0.817663593,0.704545455,,,,,,,12.919205,11.579906,1.214984197,0.646593736,-0.047530756,-0.6696495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Leavitt et al.,2001,USA,FACE,North America,no,,33° 03' N,112° 01' W,,360,,200,,21.6,semiarid,0.076,Arid,13.28,cereals,cereals,no,,,,no,no,no,yes,,no,no,0,2,2,subsurface drip,drippers,fresh,,,,,,Plot,30,60,30,40-50cm,30+cm,1.48,1.48,1.482470977,1.480512,L,,,L,,,,,,,,,,,,,,,,,,4,4,3,2.9,-0.014723257,-3.333333333,-0.05,0.6,0.6,0.2,0.206896552,0.427960057,0.395454545,,,,,,,13.34223879,12.8804544,1.25476833,0.71921319,-0.015297525,-0.230892195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Libutti et al.,2017,Italy,Stornarella,Europe,no,,41° 15' N,15° 44' E,154,146,590,497,,15.5,mediterranean,0.3514,Semi-Arid,2.8732,vegetables,horticulture,yes,2,multiple,CT,,no,yes,yes,,no,no,0,1,1,drippers,drippers,fresh,7.86,200.4,63.9,,8.7,Plot,0,30,30,10-20cm,10-20cm,1.4,1.4,1.384924425,1.369824667,CL,40.1,27.4,CL,40.1,27.4,7.9,7.9,,,,,,,,,,,,,,3,3,11.4,10.8,-0.023481096,-5.263157895,-0.6,0.4,0.7,0.035087719,0.064814815,1.607131891,1.288530014,,,,,,,47.36441534,44.38231921,4.454377503,2.478200565,-0.028242188,-2.98209613,,,,,,,,,,,,,,,,,,,,,,3,3,1.7,1.6,0.1,0.1,0.058823529,0.0625,0.272582619,0.382905983,,,,,7.063114568,6.575158402,-0.026328939,,,0.882889321,0.939308343
24,Lucho-Constantino et al.,2005,Mexico,Mezquital-2,North America,no,,20° 22' N,99° 04' W,,2013,450,4,16.7,16.6,arid,0.2302,Semi-Arid,4.1902,mixed,cereals,yes,,,,,,,,,yes,no,6,41,35,flood,floodfurr,sewage,,,,,,Farm,0,30,30,10-20cm,10-20cm,,,1.315758333,1.290006,C,,,CL,,,9.09,8.5,,,,,,,,,,,,,,3,3,3.14,14.91,0.676547995,374.8407643,0.336285714,0.2,1.15,0.063694268,0.077129443,0.447931526,2.033181818,,,,,,,12.3944435,57.70196838,1.1656331,3.221937321,0.667963596,1.294500711,,,,,,,,,,,,,,,,,,,,,,3,3,1.44,1.62,0.1,0.03,0.069444444,0.018518519,0.230893513,0.387692308,,,,,5.684075999,6.26942916,0.051152522,,,0.7105095,0.895632737
25a,Montanaro et al.,2010,Italy,Basilicata - kiwi,Europe,no,,40° 23' N,16° 45' E,25,14,550,620,,16.2,mediterranean,0.4489,Semi-Arid,2.2419,woody perennials,woody crops,no,4,multiple,CT,yes,no,no,yes,no,no,no,19,23,4,microjet,sprinkler,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.404825862,1.336543167,SL,62.2,19.5,SL,62.2,19.5,7.64,7.64,,,,,,,,,,,,,,3,3,12.4,12.8,0.013788284,3.225806452,0.1,,,,,1.77016507,1.787012987,,,,,,,26.12976103,25.66162881,2.457368446,1.432882827,-0.007851219,-0.117033055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25a,Montanaro et al.,2010,Italy,Basilicata - kiwi,Europe,no,,40° 23' N,16° 45' E,25,14,550,620,,16.2,mediterranean,0.4489,Semi-Arid,2.2419,woody perennials,woody crops,no,4,multiple,CT,yes,no,no,yes,no,no,no,19,23,4,microjet,sprinkler,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,,,1.408850575,1.345947667,SL,60,19.4,SL,60,19.4,7.79,7.79,,,,,,,,,,,,,,3,3,11.5,12.6,0.039672705,9.565217391,0.275,,,,,1.641685347,1.759090909,,,,,,,24.30267242,25.43841091,2.285540242,1.420418883,0.019835945,0.283934623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25a,Montanaro et al.,2010,Italy,Basilicata - kiwi,Europe,no,,40° 23' N,16° 45' E,25,14,550,620,,16.2,mediterranean,0.4489,Semi-Arid,2.2419,woody perennials,woody crops,no,4,multiple,CT,yes,no,no,yes,no,no,no,19,23,4,microjet,sprinkler,fresh,,,,,,Plot,30,60,30,40-50cm,30+cm,,,1.405510776,1.3677505,SL,53,17.6,SL,53,17.6,7.71,7.71,,,,,,,,,,,,,,3,3,6.05,6.7,0.044319428,10.74380165,0.1625,,,,,0.863669248,0.935389611,,,,,,,25.51841289,27.49361805,2.820792061,1.535176643,0.032378235,0.49380129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25b,Montanaro et al.,2010,Italy,Basilicata - apricot,Europe,no,,41° 08' N,16° 38' E,7,115,550,505,,16,mediterranean,0.4489,Semi-Arid,2.804,woody perennials,woody crops,no,4,multiple,CT,yes,no,no,yes,no,no,no,19,23,4,drippers,drippers,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.315998276,1.351802667,SiL,25.4,25.5,SiL,25.4,25.5,8.15,8.15,,,,,,,,,,,,,,3,3,11.1,11.9,0.030223983,7.207207207,0.2,,,,,1.584583248,1.661363636,,,,,,,21.9113713,24.12967761,2.060650779,1.347342404,0.041881961,0.554576578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25b,Montanaro et al.,2010,Italy,Basilicata - apricot,Europe,no,,41° 08' N,16° 38' E,7,115,550,505,,16,mediterranean,0.4489,Semi-Arid,2.804,woody perennials,woody crops,no,4,multiple,CT,yes,no,no,yes,no,no,no,19,23,4,drippers,drippers,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,,,1.335107759,1.370841667,SiL,24.6,26.8,SiL,24.6,26.8,8.09,8.09,,,,,,,,,,,,,,3,3,12.3,11.9,-0.01435815,-3.25203252,-0.1,,,,,1.755889546,1.661363636,,,,,,,24.63273815,24.46952376,2.316581212,1.366318585,-0.002887173,-0.040803598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25b,Montanaro et al.,2010,Italy,Basilicata - apricot,Europe,no,,41° 08' N,16° 38' E,7,115,550,505,,16,mediterranean,0.4489,Semi-Arid,2.804,woody perennials,woody crops,no,4,multiple,CT,yes,no,no,yes,no,no,no,19,23,4,drippers,drippers,fresh,,,,,,Plot,30,60,30,40-50cm,30+cm,,,1.348979454,1.407082417,CL,24,28.55,CL,24,28.55,8.205,8.205,,,,,,,,,,,,,,3,3,8.85,8.35,-0.025256795,-5.649717514,-0.125,,,,,1.263383942,1.165746754,,,,,,,35.81526151,35.24703762,3.368239511,1.9681087,-0.006945505,-0.142055972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Morugan-Coronado et al.,2011,Spain,Biar,Europe,no,,38° 38' N,0° 46' W,754,677,486,380,15.3,14.6,semiarid,0.241,Semi-Arid,4.2026,woody perennials,woody crops,no,,,,,no,no,no,,no,no,0,3,3,flood,floodfurr,fresh,8.1,,47,,1.9,Plot,0,5,5,0-10cm,0-10cm,,,1.316404598,1.333269833,L,32,25,L,32,25,8.4,8.4,,,,,,,,,,,,,,3,3,12.8,12.4,-0.013788284,-3.125,-0.133333333,0.8,0.7,0.0625,0.056451613,1.827267169,1.731168831,,,,,,,8.424989427,8.266272965,0.792326541,0.461568541,-0.008259622,-0.052905487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Munoz et al.,2007,Spain,Extremadura,Europe,no,,39° 06' N,5° 40' W,,313,480,542,,16.1,mediterranean,0.3269,Semi-Arid,3.0517,cereals,cereals,no,3,mutiple,CT,yes,no,no,yes,yes,no,no,0,2,2,,,fresh,,,,,,Plot,0,5,5,0-10cm,0-10cm,,,1.447854885,1.46111575,L,49,21,L,49,21,5.3,5.3,,,,,,,,,,,,,,4,4,9.1,9.9,0.036593802,8.791208791,0.4,,,,,1.3,1.414285714,,,,,,,6.586845618,7.229883254,0.619458654,0.403699065,0.0404538,0.321518818,,,,,,,,,,,,,,,,,,,,,,4,4,0.119,0.114,,,,,0.019080783,0.027282051,,,,,0.086142257,0.08325984,-0.01864211,,,0.010767782,0.011894263
27,Munoz et al.,2007,Spain,Extremadura,Europe,no,,39° 06' N,5° 40' W,,313,480,542,,16.1,mediterranean,0.3269,Semi-Arid,3.0517,cereals,cereals,no,3,mutiple,CT,yes,no,no,yes,yes,no,no,0,2,2,,,fresh,,,,,,Plot,10,30,20,10-20cm,10-20cm,,,1.444296839,1.468673167,L,49,21,L,49,21,5.3,5.3,,,,,,,,,,,,,,4,4,6.4,5.8,-0.04275198,-9.375,-0.3,,,,,0.914285714,0.828571429,,,,,,,18.48699954,17.03660874,1.738606384,0.951282721,-0.035483281,-0.7251954,,,,,,,,,,,,,,,,,,,,,,4,4,0.081,0.07,,,,,0.01298776,0.016752137,,,,,0.233976088,0.205614243,-0.063386979,,,0.029247011,0.029373463
28,Olson et al.,2006,Canada,Lethbridge-2,North America,no,,49° 46' N,112° 40' W,921,868,,376,,5.9,semiarid,0.2989,Semi-Arid,3.3537,cereals,cereals,no,,,,,,yes,,,no,no,0,5,5,,,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,1.54,1.54,1.506458046,1.503655833,C,19.9,51.1,C,19.9,51.1,7.83,7.83,,,,,,,,,,,,,,4,4,,,,,,,,,,,,57.9,62.1,0.8,1.6,0.013816926,0.025764895,57.9,62.1,5.445194575,3.46751269,0.030413036,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Olson et al.,2006,Canada,Lethbridge-2,North America,no,,49° 46' N,112° 40' W,921,868,,376,,5.9,semiarid,0.2989,Semi-Arid,3.3537,cereals,cereals,no,,,,,,yes,,,no,no,0,5,5,,,fresh,,,,,,Plot,15,30,15,20-30cm,20-30cm,1.54,1.54,1.50607069,1.497539333,C,17.9,51.7,C,17.9,51.7,7.85,7.85,,,,,,,,,,,,,,4,4,,,,,,,,,,,,51.8,53.9,1.2,,0.023166023,,51.8,53.9,4.871521226,3.00964467,0.017259005,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29a,Perez-Bermudez et al.,2015,Spain,Camporrobles - Tempranillo,Europe,no,,39° 39' N,1° 24' W,980,918,470,422,12.8,12.8,mediterranean,0.2723,Semi-Arid,3.6611,woody perennials,woody crops,no,frequent,multiple,CT,no,no,no,no,,yes,no,0,4,4,drippers,drippers,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.34516523,1.307691,C,,,C,,,8.2,8.2,,,,,,,,,,,,,,3,3,11,12.9,0.069197025,17.27272727,0.475,,,,,1.571428571,1.842857143,,,,,,,22.1952263,25.30382085,2.087345869,1.412903702,0.056926527,0.777148638,,,,,,,,,,,,,,,,,,,,,,3,3,1.4,1.49,,,,,0.224479804,0.356581197,,,,,2.824846983,2.922689385,0.027058233,,,0.353105873,0.417527055
29b,Perez-Bermudez et al.,2015,Spain,Camporrobles - Bobal,Europe,no,,39° 39' N,1° 24' W,980,918,470,422,12.8,12.8,mediterranean,0.2723,Semi-Arid,3.6611,woody perennials,woody crops,no,frequent,multiple,CT,no,no,no,no,,yes,no,0,4,4,drippers,drippers,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,,,1.349964655,1.3466645,CL,,,CL,,,8.2,8.2,,,,,,,,,,,,,,3,3,10.5,12.5,0.075720714,19.04761905,0.5,,,,,1.5,1.785714286,,,,,,,21.26194332,25.24995938,1.999575447,1.409896209,0.074657728,0.997004015,,,,,,,,,,,,,,,,,,,,,,3,3,1.49,1.55,,,,,0.238910649,0.370940171,,,,,3.017171004,3.130994963,0.01714543,,,0.377146375,0.447284995
30,Quin & Woods,1978,New Zealand,Templeton,Oceania,no,,43° 32' S,172° 38' E,,12,650,818,14,12.2,temperate,0.6455,Dry sub-humid,1.5183,mixed,cereals,yes,,,,,yes,yes,no,,yes,yes,7,17,10,,,waste,7.3,,20,,13.7,Plot,0,15,15,0-10cm,0-10cm,1.2,1.2,1.268920115,1.266103167,SiL,,,SiL,,,6.3,6.4,,,,,,,,,,,,,,1,1,27.8,28,0.003113235,0.71942446,0.02,,,,,3.971428571,4,,,,,,,52.9139688,53.17633301,4.976284212,2.969236869,0.002148049,0.026236421,,,,,,,,,,,,,,,,,,,,,,1,1,2.7,2.7,,,,,0.432925337,0.646153846,,,,,5.139126466,5.127717826,0,,,0.642390808,0.732531118
31a,Ramirez-Fuentes et al.,2002,Mexico,Mezquital-3,North America,no,,39° 06' N,5° 40' W,2000,313,550,542,17,16.1,semiarid,0.3269,Semi-Arid,3.0517,mixed,cereals,yes,,,,,,,,no,yes,no,73,86,13,furrow,floodfurr,sewage,8.4,295.3,5.4,,,Farm,0,20,20,0-10cm,0-10cm,,,1.34710977,1.254346333,CL,35.9,37.1,CL,36.5,36.2,7.7,7.7,,,,,,,,,,,,,,1,1,21.8,23.4,0.030759364,7.339449541,0.123076923,,,,,3.114285714,3.342857143,,,,,,,58.73398597,58.70340838,5.523626629,3.27785529,-0.000226158,-0.002352122,1,1,3.1,1.4,,,,,1.834693878,0.499962742,,,,,8.352080574,3.512169732,,,,,-0.345233658,1,1,2.3,2.6,,,,,0.36878825,0.622222222,,,,,6.196704942,6.522600932,0.053245512,,,0.774588118,0.931800133
31b,Ramirez-Fuentes et al.,2002,Mexico,Mezquital-3,North America,no,,39° 06' N,5° 40' W,2000,313,550,542,17,16.1,semiarid,0.3269,Semi-Arid,3.0517,mixed,cereals,yes,,,,,,,,no,yes,no,22,33,11,furrow,floodfurr,sewage,8.4,295.3,5.4,,,Farm,0,20,20,0-10cm,0-10cm,,,1.377961207,1.277410167,SL,58.3,19.9,SL,67.7,12.5,7.8,7.2,,,,,,,,,,,,,,1,1,19.2,16.2,-0.073786214,-15.625,-0.272727273,,,,,2.742857143,2.314285714,,,,,,,52.91371035,41.38808941,4.976259906,2.311010069,-0.106692837,-1.047783722,1,1,2.6,0.6,,,,,1.53877551,0.214269747,,,,,7.165398276,1.5328922,,,,,-0.636822098,1,1,2,1.7,,,,,0.320685435,0.406837607,,,,,5.511844828,4.343194568,-0.070581074,,,0.688980604,0.620456367
32,Rochester,2011,Australia,Narrabri-2,Oceania,no,,30° 12' S,149° 36' E,,200,645,627,,19.2,subtropical,0.2989,Semi-Arid,3.3604,cotton,woody crops,no,,,RT,no,no,no,yes,yes,yes,no,25,35,10,,,fresh,,,,,,Plot,0,30,30,10-20cm,10-20cm,1.27,1.24,1.298439,1.262653,C,,,C,,,7.9,7.9,,,,,,,,,,,,,,4,4,10.2,10.8,0.024823584,5.882352941,0.06,,,,,1.457143,1.542857,,,,,,,39.73224,40.90997,3.736611,2.284313,0.012686111,0.117773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Rochester,2011,Australia,Narrabri-2,Oceania,no,,30° 12 'S,149° 36' E,,200,645,627,,19.2,subtropical,0.2989,Semi-Arid,3.3604,cotton,woody crops,no,,,RT,no,no,no,yes,yes,yes,no,31,35,4,,,fresh,,,,,,Plot,30,60,30,40-50cm,30+cm,1.505,1.505,1.4690855,1.4630505,C,,,C,,,7.9,7.9,,,,,,,,,,,,,,4,4,8.19,7.78,-0.022304305,-5.006105006,-0.1025,,,,,1.17,1.1114285,,,,,,,36.0957,34.09496,3.394614,1.903779,-0.024765283,-0.500185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Rotenberg et al.,2005,USA,Hancock,North America,no,,44° 07' N,89° 32' W,,334,,808,,6.7,,0.7917,Humid,1.2611,mixed,horticulture,yes,frequent,multiple,CT,,no,yes,yes,no,no,no,1,4,3,,,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,1.5,1.5,1.528354598,1.534080167,LS,,,LS,,,6.6,6.6,,,,,,,,,,,,,,5,5,,,,,,,,,,,,13.7,11.2,,,,,13.7,11.2,1.288413915,0.625380711,-0.087502544,-0.833333333,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,1.2,1,,,1.2,1,,,,0.15,0.142857143
34,Rusan et al.,2007,Jordan,Ramtha,Middle East,no,,32° 34' N,36° 01' E,,511,,333,,18,arid,0.161,Arid,6.2823,cereals,cereals,no,,,,,no,,,,yes,no,0,10,10,,,waste,7.3,,,,,Plot,0,20,20,0-10cm,0-10cm,,,1.352048563,1.357264,C,,,C,,,8,7.94,,,,,,,,,,,,,,3,3,3.89,7.22,0.268587596,85.60411311,0.333,,,,,0.555714286,1.031428571,,,,,,,10.51893782,19.59889216,0.989251523,1.094354385,0.270259635,0.907995434,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,0.093,0.181,,,0.093,0.181,,,,0.011625,0.025857143
34,Rusan et al.,2007,Jordan,Ramtha,Middle East,no,,32° 34' N,36° 01' E,,511,,333,,18,arid,0.161,Arid,6.2823,cereals,cereals,no,,,,,no,,,,yes,no,0,10,10,,,waste,7.3,,,,,Plot,20,40,20,20-30cm,20-30cm,,,1.360595115,1.371779833,C,,,C,,,8.17,8.17,,,,,,,,,,,,,,3,3,3.09,4.27,0.140469396,38.18770227,0.118,,,,,0.441428571,0.61,,,,,,,8.408477811,11.71499977,0.790773709,0.654137043,0.144024902,0.330652196,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,0.093,0.11,,,0.093,0.11,,,,0.011625,0.015714286
34,Rusan et al.,2007,Jordan,Ramtha,Middle East,no,,32° 34' N,36° 01' E,,511,,333,,18,arid,0.161,Arid,6.2823,cereals,cereals,no,,,,,no,,,,yes,no,0,10,10,,,waste,7.3,,,,,Plot,40,60,20,40-50cm,30+cm,,,1.345139655,1.380918667,C,,,C,,,8.31,8.28,,,,,,,,,,,,,,3,3,1.89,2.8,0.170696227,48.14814815,0.091,,,,,0.27,0.4,,,,,,,5.084627896,7.733144535,0.478182871,0.431799949,0.182096952,0.264851664,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,0.073,0.088,,,0.073,0.088,,,,0.009125,0.012571429
35,Sanchez-Garcia et al.,2016,Spain,Casa Pareja,Europe,no,,38° 23' N,1° 22' W,,472,250,342,16.1,15.7,semiarid,0.2064,Semi-Arid,4.9854,woody perennials,woody crops,no,3,multiple,RT,,no,no,no,no,no,no,15,17,2,drip,drippers,fresh,,,,,,Plot,0,5,5,0-10cm,0-10cm,,,1.341080747,1.3413675,SL,57,16,SL,57,16,8.01,8.01,,,,,,,,,,,,,,3,3,12.85,17.31,0.12939394,34.70817121,2.23,1.79,1.77,0.139299611,0.102253033,1.835714286,2.472857143,,,,,,,8.616443799,11.60953571,0.810331831,0.648248187,0.129486792,1.496545956,,,,,,,,,,,,,,,,,,,,,,3,3,1.15,1.84,0.18,0.09,0.156521739,0.048913043,0.184394125,0.44034188,,,,,0.77112143,1.2340581,0.204119983,,,0.096390179,0.176294014
36,Sanchez-Gonzalez et al.,2017,Mexico,Mezquital-4,North America,no,,39° 06' N,5° 40' W,,313,600,542,17,16.1,semiarid,0.3269,Semi-Arid,3.0517,mixed,cereals,yes,frequent,multiple,CT,,no,no,,,yes,no,15,100,85,furrow,floodfurr,sewage,,,,,,Farm,0,30,30,10-20cm,10-20cm,1.1,1.1,1.187012931,1.182334667,CL,,,CL,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,49.2,59.1,11.3,3.3,0.229674797,0.055837563,49.2,59.1,4.627004717,3.3,0.079622378,0.116470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Schmer et al.,2014,USA,Ithaca,North America,no,,41° 10' N,96° 25' W,349,350,740,797,9.8,10.3,,0.5774,Dry sub-humid,1.7227,cereals,cereals,no,0,never,NT,no,no,no,yes,yes,no,no,1,10,9,sprinklers,sprinkler,fresh,,,,,,Plot,0,15,15,0-10cm,0-10cm,1.36,1.36,1.388025862,1.385427833,SiL,,,SiL,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,,39.6,42.8,,,,,39.6,42.8,3.724174528,2.389847716,0.033748583,0.355555556,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,3.2,3.49,,,3.2,3.49,,,,0.4,0.498571429
