ref_num,group,treatment,depth_category,log_organic_C_rr,per_OC_change,conc_sd,organic_C_st_t1,organic_C_st_t2,st_sd,log_organic_C_st_rr,per_OC_st_change,n
41a,aridity,Dry sub-humid,0-10cm,0.056862862,5.85106383,0.509180344,18.8,19.9,1.439606752,0.056862862,5.85106383,5
42,aridity,Semi-Arid,0-10cm,0.476082675,60.97560976,1,17.25505147,26.12974979,1.540886433,0.414969565,51.43246509,2
42,aridity,Semi-Arid,20-30cm,-0.007158227,-0.713266762,1,14.79409436,13.9810914,1.085990338,-0.056522269,-5.495456094,2
43,aridity,Dry sub-humid,0-10cm,0.007472015,0.75,0.70688259,19.36,19.5052,1.454917017,0.007472015,0.75,4
44,aridity,Humid,10-20cm,-0.0650229,-6.295399516,0.06,8.9208,8.3592,0.652856996,-0.0650229,-6.295399516,4
45,aridity,Arid,0-10cm,0.627189213,87.23404255,0.4,6.8694542,12.8881016,0.682839003,0.629219873,87.61463756,3
45,aridity,Arid,10-20cm,0.559615788,75,0.35,4.6750176,8.2288752,0.449571184,0.565416407,76.0180582,3
45,aridity,Arid,20-30cm,0.535518236,70.83333333,0.9,3.4901712,5.9296168,0.329664251,0.530008801,69.89472608,3
45,aridity,Arid,30+cm,0.420921366,52.3364486,0.46875,1.958750694,3.00069527,0.17588111,0.42653715,53.19434372,3
46,aridity,Arid,0-10cm,0.056121546,5.772623859,1.336013805,10.37666667,10.37666667,0.777640698,0,0,17
46,aridity,Arid,20-30cm,0.014661919,1.476993214,0.757487099,18.14,18.14,1.359434846,0,0,17
47,aridity,Arid,30+cm,0.411240918,50.86887836,0.905,83.556,127.015,7.475116042,0.418788124,52.01182441,3
1a,irrigation,,0-10cm,0.340140283,40.51446945,0.65144511,7.2152,9.2644,0.597927501,0.249989186,28.40115312,1
1a,irrigation,,10-20cm,0.368560551,44.56521739,0.58733847,10.2672,14.2443,0.880472911,0.327402479,38.73597475,1
1a,irrigation,,30+cm,0.366743606,44.30278884,0.177865022,7.27398,12.29387289,0.685270676,0.524797402,69.01163997,1
1b,irrigation,,0-10cm,-0.083114907,-7.975460123,0.690855,9.943,9.225,0.725095477,-0.074951596,-7.221160616,1
